## [BeGaze]
## Converted from:	E:\henrik-iwk1\henrik-1-recording.idf
## Date:	13.12.2019 13:30:00
## Version:	BeGaze 3.6.52
## IDF Version:	10
## Sample Rate:	60
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	3381
## Reversed:	none
## [Run]
## Subject:	henrik
## Description:	Run1
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT
##
Time;Type;Trial;L Pupil Diameter [mm];R Pupil Diameter [mm]
193218029;SMP;1;4.62;4.52
193234773;SMP;1;4.60;4.48
193251426;SMP;1;4.62;4.52
193284607;SMP;1;4.64;4.54
193301001;SMP;1;4.64;4.56
193317903;SMP;1;4.64;4.56
193351299;SMP;1;4.58;4.54
193367539;SMP;1;4.56;4.54
193384172;SMP;1;4.60;4.56
193400744;SMP;1;4.60;4.54
193417507;SMP;1;4.62;4.56
193434103;SMP;1;4.58;4.54
193467210;SMP;1;4.64;4.56
193484115;SMP;1;4.58;4.56
193500754;SMP;1;4.58;4.54
193517181;SMP;1;4.60;4.56
193533765;SMP;1;4.60;4.56
193550324;SMP;1;4.58;4.56
193566666;SMP;1;4.62;4.56
193583271;SMP;1;4.60;4.52
193600156;SMP;1;4.64;4.54
193616594;SMP;1;4.62;4.54
193633375;SMP;1;4.58;4.58
193649899;SMP;1;4.60;4.60
193666396;SMP;1;4.58;4.56
193683180;SMP;1;4.62;4.54
193699960;SMP;1;4.62;4.58
193716199;SMP;1;4.58;4.54
193732745;SMP;1;4.62;4.58
193749504;SMP;1;4.58;4.56
193765981;SMP;1;4.60;4.56
193782326;SMP;1;4.64;4.50
193799498;SMP;1;4.62;4.60
193815607;SMP;1;4.58;4.46
193832169;SMP;1;4.74;4.36
193849349;SMP;1;4.80;4.36
193865408;SMP;1;4.82;4.36
193882125;SMP;1;4.82;4.38
193898776;SMP;1;4.84;4.38
193915143;SMP;1;4.82;4.42
193931641;SMP;1;4.80;4.36
193948234;SMP;1;4.80;4.42
193964854;SMP;1;4.86;4.42
193981476;SMP;1;4.84;4.42
193998009;SMP;1;4.84;4.42
194014623;SMP;1;4.86;4.42
194031244;SMP;1;4.86;4.42
194047847;SMP;1;4.84;4.46
194064410;SMP;1;4.86;4.40
194081457;SMP;1;4.84;4.42
194097915;SMP;1;4.84;4.42
194115088;SMP;1;4.86;4.42
194131153;SMP;1;4.86;4.44
194147673;SMP;1;4.86;4.44
194180942;SMP;1;4.82;4.42
194197445;SMP;1;4.84;4.42
194213914;SMP;1;4.78;4.42
194230407;SMP;1;4.78;4.40
194247562;SMP;1;4.80;4.44
194263878;SMP;1;4.82;4.40
194280506;SMP;1;4.86;4.40
194297016;SMP;1;4.64;4.40
194313551;SMP;1;4.78;4.48
194330255;SMP;1;4.80;4.60
194346851;SMP;1;4.76;4.52
194363444;SMP;1;4.76;4.58
194380031;SMP;1;4.80;4.60
194396956;SMP;1;4.82;4.62
194413432;SMP;1;4.82;4.62
194430108;SMP;1;4.78;4.64
194446273;SMP;1;4.78;4.64
194462818;SMP;1;4.84;4.56
194479664;SMP;1;4.84;4.58
194495884;SMP;1;4.80;4.58
194512994;SMP;1;4.80;4.58
194529396;SMP;1;4.80;4.58
194545741;SMP;1;4.82;4.64
194562322;SMP;1;4.84;4.64
194579262;SMP;1;4.88;4.64
194595668;SMP;1;4.84;4.60
194612414;SMP;1;4.82;4.64
194628648;SMP;1;4.84;4.58
194645280;SMP;1;4.82;4.60
194662024;SMP;1;4.94;4.58
194678624;SMP;1;4.82;4.54
194695169;SMP;1;4.82;4.52
194712101;SMP;1;4.76;4.52
194728410;SMP;1;4.78;4.52
194745191;SMP;1;4.80;4.56
194761637;SMP;1;4.90;4.60
194778164;SMP;1;4.90;4.54
194794949;SMP;1;4.82;4.56
194811848;SMP;1;4.80;4.54
194828493;SMP;1;4.84;4.56
194844725;SMP;1;4.82;4.56
194861241;SMP;1;4.82;4.56
194877920;SMP;1;4.82;4.54
194894161;SMP;1;4.80;4.56
194911114;SMP;1;4.78;4.56
194927385;SMP;1;4.78;4.58
194944282;SMP;1;4.78;4.56
194960832;SMP;1;4.82;4.56
194977285;SMP;1;4.78;4.54
194994082;SMP;1;4.78;4.58
195010379;SMP;1;4.76;4.56
195027012;SMP;1;4.84;4.58
195043899;SMP;1;4.80;4.60
195060271;SMP;1;4.76;4.58
195077050;SMP;1;4.80;4.58
195093669;SMP;1;4.76;4.56
195110271;SMP;1;4.80;4.58
195126641;SMP;1;4.82;4.62
195143284;SMP;1;4.76;4.56
195159875;SMP;1;4.76;4.58
195176424;SMP;1;4.70;4.54
195193482;SMP;1;4.70;4.58
195209955;SMP;1;4.72;4.58
195226136;SMP;1;4.84;4.56
195242721;SMP;1;4.80;4.54
195259401;SMP;1;4.90;4.58
195276158;SMP;1;4.82;4.48
195292821;SMP;1;4.88;4.50
195309481;SMP;1;4.84;4.54
195325647;SMP;1;4.84;4.60
195342280;SMP;1;4.84;4.60
195358880;SMP;1;4.82;4.50
195375626;SMP;1;4.86;4.58
195392299;SMP;1;4.86;4.46
195409008;SMP;1;4.78;4.56
195425420;SMP;1;4.84;4.50
195442139;SMP;1;4.82;4.56
195459092;SMP;1;4.80;4.52
195475152;SMP;1;4.78;4.44
195491800;SMP;1;4.78;4.56
195508389;SMP;1;4.76;4.48
195524848;SMP;1;4.76;4.56
195541980;SMP;1;4.76;4.52
195558533;SMP;1;4.70;4.52
195574894;SMP;1;4.74;4.58
195591773;SMP;1;4.70;4.46
195607913;SMP;1;4.70;4.56
195624960;SMP;1;4.72;4.62
195641265;SMP;1;4.68;4.58
195657734;SMP;1;4.66;4.54
195674400;SMP;1;4.72;4.58
195690786;SMP;1;4.72;4.54
195707565;SMP;1;4.68;4.56
195724156;SMP;1;4.68;4.56
195740587;SMP;1;4.76;4.56
195757292;SMP;1;4.70;4.58
195773915;SMP;1;4.74;4.58
195790521;SMP;1;4.70;4.62
195806988;SMP;1;4.76;4.58
195823797;SMP;1;4.74;4.56
195840280;SMP;1;4.74;4.56
195856838;SMP;1;4.70;4.60
195873634;SMP;1;4.70;4.58
195890683;SMP;1;4.80;4.58
195906663;SMP;1;4.70;4.60
195923127;SMP;1;4.80;4.62
195939866;SMP;1;4.78;4.62
195956722;SMP;1;4.78;4.58
195973043;SMP;1;4.80;4.58
195989686;SMP;1;4.78;4.56
196006364;SMP;1;4.80;4.58
196022883;SMP;1;4.76;4.62
196039609;SMP;1;4.80;4.62
196056506;SMP;1;4.78;4.62
196072773;SMP;1;4.80;4.64
196089393;SMP;1;4.86;4.68
196105793;SMP;1;4.86;4.68
196122493;SMP;1;4.84;4.66
196139259;SMP;1;4.82;4.68
196155697;SMP;1;4.88;4.64
196172010;SMP;1;4.80;4.72
196188612;SMP;1;4.94;4.76
196205420;SMP;1;4.98;4.84
196221861;SMP;1;5.18;5.04
196239002;SMP;1;0.00;3.88
196255147;SMP;1;0.00;0.00
196271975;SMP;1;0.00;0.00
196288723;SMP;1;3.44;0.00
196305277;SMP;1;3.92;3.84
196321776;SMP;1;5.18;4.92
196338331;SMP;1;5.06;4.80
196354753;SMP;1;4.84;4.72
196371415;SMP;1;4.80;4.66
196388034;SMP;1;4.76;4.60
196404815;SMP;1;4.76;4.56
196421133;SMP;1;4.72;4.50
196438033;SMP;1;4.60;4.40
196454144;SMP;1;4.56;4.36
196470920;SMP;1;4.52;4.30
196487367;SMP;1;4.40;4.22
196504346;SMP;1;4.34;4.18
196520963;SMP;1;4.30;4.14
196537148;SMP;1;4.30;4.04
196553974;SMP;1;4.20;4.02
196570357;SMP;1;4.14;4.00
196587401;SMP;1;4.06;4.00
196603655;SMP;1;4.06;3.84
196620309;SMP;1;4.02;3.80
196636868;SMP;1;4.00;3.82
196653370;SMP;1;3.98;3.72
196669985;SMP;1;3.94;3.76
196686798;SMP;1;3.88;3.62
196703111;SMP;1;3.82;3.62
196719981;SMP;1;3.82;3.60
196736540;SMP;1;3.80;3.58
196753176;SMP;1;3.80;3.58
196769674;SMP;1;3.78;3.58
196786115;SMP;1;3.76;3.54
196802640;SMP;1;3.72;3.52
196819399;SMP;1;3.70;3.48
196836021;SMP;1;3.64;3.42
196852510;SMP;1;3.64;3.40
196869199;SMP;1;3.60;3.42
